ID,Title,Year,IMDb,Genres,Runtime
355,Kill the Messenger,2014,6.9,"Biography,Crime,Drama,Mystery,Thriller",112
356,Operation Odessa,2018,7.8,Documentary,95
357,The American Meme,2018,7.3,Documentary,98
358,Outlaw King,2018,6.9,"Action,Biography,Drama,History,War",121
359,21,2008,6.8,"Crime,Drama,History,Thriller",123
360,Holding the Man,2015,7.4,"Biography,Drama,Romance",127
361,Krisha,2016,7.2,Drama,83
362,De Palma,2016,7.4,"Documentary,Biography",110
363,Dear Ex,2018,7.4,"Comedy,Drama,Romance",100
364,Tomorrow Never Dies,1997,6.5,"Action,Adventure,Thriller",119
365,Veronica,2017,6.2,Comedy,94
366,The Cakemaker,2017,7.2,Drama,113
367,Instructions Not Included,2013,7.5,"Comedy,Drama",115
368,Bleed for This,2016,6.8,"Biography,Drama,Sport",117
369,Girl,2018,7.2,Drama,105
370,The Naked Gun 2½: The Smell of Fear,1991,6.9,"Comedy,Crime",85
371,Bareilly's Barfi,2017,7.5,"Comedy,Romance",116
372,The Sky Is Pink,2019,7.5,"Drama,Family,Romance",143
373,Chitty Chitty Bang Bang,1968,6.9,"Adventure,Family,Fantasy,Musical",144
374,A Wednesday!,2008,8.1,"Crime,Drama,Mystery,Thriller",104
375,Jodhaa Akbar,2008,7.6,"Action,Drama,History,Romance,War",213
376,Handsome Devil,2017,7.1,"Comedy,Drama,Sport",95
377,"Love, Rosie",2014,7.2,"Comedy,Romance",102
378,Oceans,2009,7.8,"Documentary,Drama",104
379,The Ritual,2017,6.3,"Horror,Mystery,Thriller",94
380,Super Dark Times,2017,6.6,"Crime,Drama,Horror,Thriller",103
381,Tallulah,2016,6.7,"Comedy,Drama,Romance",111
382,Other People,2016,6.8,"Comedy,Drama",97
383,Alpha Dog,2006,6.9,"Biography,Crime,Drama,Thriller",122
384,Spectral,2016,6.3,"Action,Adventure,Mystery,Sci-Fi,Thriller",107
385,The Babysitter,2017,6.3,"Comedy,Horror",85
386,"Extremely Wicked, Shockingly Evil and Vile",2019,6.6,"Biography,Crime,Drama,Thriller",110
387,Heneral Luna,2015,7.6,"Action,Biography,History,War",118
388,Click,2006,6.4,"Comedy,Drama,Fantasy,Romance",107
389,The Duchess,2008,6.9,"Biography,Drama,History,Romance",110
390,The Last Man on the Moon,2016,7.4,"Documentary,Adventure,Biography,History",95
391,The 24 Hour War,2016,7.2,"Documentary,History",99
392,Mune: Guardian of the Moon,2015,7.2,"Animation,Adventure,Comedy,Family,Fantasy",85
393,The Devil We Know,2018,7.7,Documentary,95
394,How the Grinch Stole Christmas,2000,6.2,"Comedy,Family,Fantasy",104
395,LA Originals,2020,7.3,Documentary,92
396,Whisky,2004,7.1,"Comedy,Drama",99
397,The Sapphires,2012,7,"Biography,Comedy,Drama,Music,Romance",103
398,Bloodsport,1988,6.8,"Action,Biography,Drama,Sport",92
399,Tinker Bell and the Legend of the NeverBeast,2014,7.3,"Animation,Adventure,Family,Fantasy",76
400,Get Me Roger Stone,2017,7.4,"Documentary,Biography",92
401,Alex Strangelove,2018,6.3,"Comedy,Drama,Romance",99
402,She's Out of My League,2010,6.4,"Comedy,Romance",104
403,Sarah's Key,2010,7.5,"Drama,War",111
404,My Happy Family,2017,7.4,Drama,120
405,Killing Them Softly,2012,6.2,"Crime,Drama,Thriller",97
406,Ittefaq,2017,7.2,"Mystery,Thriller",105
407,6 Underground,2019,6.1,"Action,Comedy,Thriller",128
408,The Accountant of Auschwitz,2018,7.3,Documentary,78
409,Echo in the Canyon,2019,7,"Documentary,Music",82
410,Hold the Dark,2018,5.6,"Drama,Horror,Mystery,Thriller",125
411,Suffragette,2015,6.9,"Drama,History",106
412,The Siege of Jadotville,2016,7.2,"Action,Drama,History,Thriller,War",108
413,Terminator Salvation,2009,6.5,"Action,Adventure,Sci-Fi",115
414,Hotel Transylvania 3: Summer Vacation,2018,6.3,"Animation,Adventure,Comedy,Family,Fantasy",97
415,Filmworker,2018,7.4,"Documentary,Biography",94
