3230,Genesis Rising,8/6/2007,Single-player;Multi-player,Strategy,Strategy;Space;Sci-fi,30,94
3260,Safecracker: The Ultimate Puzzle Adventure,8/29/2007,Single-player,Adventure;Casual,Puzzle;Adventure;Casual,256,172
3270,Painkiller Overdose,10/30/2007,Single-player;Multi-player,Action,Action;FPS;Shooter,429,137
3330,Zuma Deluxe,8/30/2006,Single-player,Casual,Casual;Match 3;Puzzle,437,37
3410,Heavy Weapon Deluxe,8/30/2006,Single-player,Casual,Casual;Arcade;Action,71,28
3480,Peggle Deluxe,3/6/2007,Single-player,Casual,Casual;Puzzle;Arcade,1106,66
3483,Peggle Extreme,9/11/2007,Single-player,Casual,Casual;Puzzle;Free to Play,707,58
3490,Venice Deluxe,6/25/2007,Single-player,Casual,Casual,10,2
3500,Mystery P.I.™ - The Lottery Ticket,10/16/2007,Single-player,Casual,Casual;Hidden Object,10,3
3510,Amazing Adventures The Lost Tomb™,12/13/2007,Single-player,Casual,Casual;Hidden Object;Puzzle,21,8
3520,Mystery P.I.™ - The Vegas Heist,6/5/2008,Single-player,Casual,Casual;Hidden Object,11,5
3530,Amazing Adventures Around the World,4/15/2009,Single-player,Casual,Casual;Hidden Object;Puzzle,23,7
3540,Peggle™ Nights,10/15/2008,Single-player,Casual,Casual;Puzzle;Singleplayer,368,24
3560,Bejeweled Twist,11/18/2008,Single-player,Strategy;Casual,Casual;Strategy;Match 3,98,18
3570,Mystery P.I.™ - The New York Fortune,1/28/2009,Single-player,Casual,Casual;Hidden Object,8,5
3580,The Wizard's Pen™,2/18/2009,Single-player,Casual,Casual;Hidden Object,15,3
3590,Plants vs. Zombies GOTY Edition,5/5/2009,Single-player;Steam Achievements,Strategy,Tower Defense;Zombies;Strategy,14630,454
3600,Escape Rosecliff Island,4/15/2009,Single-player,Casual,Casual;Hidden Object;Puzzle,97,57
3610,Mystery P.I. - Lost in Los Angeles,7/27/2009,Single-player,Casual,Casual;Hidden Object,8,3
3620,Zuma's Revenge!,9/15/2009,Single-player;Steam Achievements;Stats,Action;Casual,Casual;Action;Match 3,435,28
3700,Sniper Elite,7/16/2009,Single-player;Steam Trading Cards,Action,Action;Sniper;Stealth,1181,377
3710,Judge Dredd: Dredd vs. Death,3/26/2009,Single-player;Multi-player;Co-op,Action,Action;FPS;First-Person,559,79
3720,Evil Genius,6/22/2009,Single-player,Strategy,Base-Building;Strategy;Villain Protagonist,1847,95
